MONTH,DAY_OF_MONTH,ORIGIN,DEST,DEP_DELAY
05,17,SEA,ORD,-1.1025641025641026
05,17,SEA,PDX,-0.08695652173913043
05,17,SEA,PHX,0.4423076923076923
05,17,SEA,SFO,4.057971014492754
05,17,SEA,SJC,0.8648648648648649
05,18,SEA,ANC,2.7903225806451615
05,18,SEA,DEN,2.7222222222222223
05,18,SEA,DFW,-2.096774193548387
05,18,SEA,LAS,6.09433962264151
05,18,SEA,LAX,10.904761904761905
05,18,SEA,ORD,2.5
05,18,SEA,PDX,2.6956521739130435
05,18,SEA,PHX,-0.37254901960784315
05,18,SEA,SFO,15.219178082191782
05,18,SEA,SJC,5.837837837837838
05,19,SEA,ANC,7.65
05,19,SEA,DEN,2.327272727272727
05,19,SEA,DFW,3.875
05,19,SEA,LAS,4.444444444444445
05,19,SEA,LAX,6.383720930232558
05,19,SEA,ORD,30.075
05,19,SEA,PDX,1.7826086956521738
05,19,SEA,PHX,5.588235294117647
05,19,SEA,SFO,16.690140845070424
05,19,SEA,SJC,3.3783783783783785
05,20,SEA,ANC,2.0833333333333335
05,20,SEA,DEN,3.32
05,20,SEA,DFW,-2.9375
05,20,SEA,LAS,4.846153846153846
05,20,SEA,LAX,8.987341772151899
05,20,SEA,ORD,3.4146341463414633
05,20,SEA,PDX,-1.0476190476190477
05,20,SEA,PHX,6.62
05,20,SEA,SFO,68.48484848484848
05,20,SEA,SJC,8.028571428571428
05,21,SEA,ANC,1.3174603174603174
05,21,SEA,DEN,1.56
05,21,SEA,DFW,2.757575757575758
05,21,SEA,LAS,2.0392156862745097
05,21,SEA,LAX,3.0632911392405062
05,21,SEA,ORD,6.487179487179487
05,21,SEA,PDX,0
05,21,SEA,PHX,0.5714285714285714
05,21,SEA,SFO,34.67213114754098
05,21,SEA,SJC,3.1818181818181817
05,22,SEA,ANC,4.630769230769231
05,22,SEA,DEN,4.833333333333333
05,22,SEA,DFW,5.5625
05,22,SEA,LAS,2.358490566037736
05,22,SEA,LAX,7.488372093023256
05,22,SEA,ORD,11.175
